domain,goal,tool,url
GOVERNANCE,Data Catalog / Governance,Datarobot,https://www.datarobot.com/
GOVERNANCE,Data Catalog / Governance,Datastrato,https://datastrato.ai/gravitino/
GOVERNANCE,Data Catalog / Governance,Deeplake,https://www.deeplake.ai/
GOVERNANCE,Data Catalog / Governance,Delta Live Tables,https://www.databricks.com/product/delta-live-tables
GOVERNANCE,Data Catalog / Governance,Domino,https://domino.ai/
GOVERNANCE,Data Catalog / Governance,Fb,https://engineering.fb.com/2020/10/09/data-infrastructure/nemo/
GOVERNANCE,Data Catalog / Governance,Firsteigen,https://firsteigen.com/
GOVERNANCE,Data Catalog / Governance,Github,https://github.com/facebookresearch/faiss
GOVERNANCE,Data Catalog / Governance,Google,https://cloud.google.com/dataform
GOVERNANCE,Data Catalog / Governance,Google Cloud Dataproc,https://cloud.google.com/dataproc-metastore/docs/overview
GOVERNANCE,Data Catalog / Governance,Gretel,https://gretel.ai/
GOVERNANCE,Data Catalog / Governance,Honeyhive,https://www.honeyhive.ai/
GOVERNANCE,Data Catalog / Governance,Ibm,https://www.ibm.com/products/knowledge-catalog
GOVERNANCE,Data Catalog / Governance,Iguazio,http://www.iguazio.com/
GOVERNANCE,Data Catalog / Governance,Immuta,https://www.immuta.com/
GOVERNANCE,Data Catalog / Governance,Magda,https://magda.io/
GOVERNANCE,Data Catalog / Governance,Marquezproject,https://marquezproject.ai/
GOVERNANCE,Data Catalog / Governance,Nannyml,https://www.nannyml.com/
GOVERNANCE,Data Catalog / Governance,OpenMetadata,https://open-metadata.org/
GOVERNANCE,Data Catalog / Governance,Opendatadiscovery,https://opendatadiscovery.org/
GOVERNANCE,Data Catalog / Governance,Raito,https://www.raito.io/
GOVERNANCE,Data Catalog / Governance,Satoricyber,https://satoricyber.com/
GOVERNANCE,Data Catalog / Governance,Selectstar,https://www.selectstar.com/
GOVERNANCE,Data Catalog / Governance,Tigrisdata,https://www.tigrisdata.com/
GOVERNANCE,Data Catalog / Governance,Valohai,https://valohai.com/
GOVERNANCE,Data Catalog / Governance,Ydata,https://ydata.ai/
GOVERNANCE,Data Catalog / Governance,Zeenea,https://zeenea.com/
GOVERNANCE,Data Catalog / Governance,Zenml,https://zenml.io/
INGEST,Ingest SaaS,Airbyte,https://airbyte.com/
INGEST,Ingest SaaS,Dataddo,https://www.dataddo.com/
INGEST,Ingest SaaS,Estuary,https://estuary.dev/
INGEST,Ingest SaaS,Fivetran,https://fivetran.com/
INGEST,Ingest SaaS,Hevo Data,https://hevodata.com/
INGEST,Ingest SaaS,Integrate.io,https://www.integrate.io/
INGEST,Ingest SaaS,Keboola,https://www.keboola.com/
INGEST,Ingest SaaS,Matillion,https://www.matillion.com/
INGEST,Ingest SaaS,Polytomic,https://www.polytomic.com/
